"Gene_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"AT2G25510",2542.83012195609,-2.78789859601334,0.121043126475116,1.37578570152123e-118,2.63834423980727e-114,"Down-regulated"
"AT5G47450",413.898591772762,3.76520698115264,0.169425920801699,1.74461605452893e-110,1.67282510388507e-106,"Up-regulated"
"AT5G36910",466.25023905158,3.07361934725553,0.148531426421881,2.58598725164517e-96,1.65304925082665e-92,"Up-regulated"
"AT4G02520",1432.52357970023,-2.66866211134218,0.130418677409227,2.527283934195e-94,1.21164310015144e-90,"Down-regulated"
"AT4G12470",1884.53963622218,-2.9438533359983,0.144291836696974,8.08002762650951e-94,3.09901379587146e-90,"Down-regulated"
"AT2G38530",1249.58542176906,-2.87011905275068,0.14073910098064,1.00474833676294e-93,3.21134314235048e-90,"Down-regulated"
"AT2G41090",451.611695981871,-3.1049682642654,0.160500472626833,1.38805196320113e-84,3.8026674997583e-81,"Down-regulated"
"AT1G66100",191.102726488134,4.10390937180654,0.248988155231914,5.04582184360323e-62,1.20954656868474e-58,"Up-regulated"
"AT2G22990",862.096641232082,1.91840730685898,0.121323651247953,1.73681820399689e-57,3.70077363311648e-54,"Up-regulated"
"AT1G76930",1988.04958276068,-2.20081543909029,0.141623201687396,1.3775341775423e-55,2.64169729227286e-52,"Down-regulated"
"AT3G04720",630.856098020129,-2.27450583060865,0.149433774259898,1.75028420562865e-53,3.0513818373946e-50,"Down-regulated"
"AT1G02930",661.589415422974,-2.34669824848754,0.159763335125028,5.02963857580217e-50,8.03778158067986e-47,"Down-regulated"
"AT4G30290",185.805308186951,-2.97854351703344,0.207578413732615,7.78871962758598e-48,1.14895597152474e-44,"Down-regulated"
"AT4G26530",896.520340004345,2.30967251285516,0.165256599292781,1.6285290377439e-45,2.23073581120105e-42,"Up-regulated"
"AT1G70850",595.732317245993,1.8287053707526,0.134489173239198,2.94960908861524e-43,3.77097689949164e-40,"Up-regulated"
"AT2G22470",663.467550301606,-2.02651816004903,0.149825182825707,7.25286749113903e-43,8.69301499234833e-40,"Down-regulated"
"AT4G37610",219.656267212708,2.5726473435436,0.193690443896846,2.38776118059489e-41,2.69353506825107e-38,"Up-regulated"
"AT2G41380",235.960086499029,-2.55329939678434,0.196354174223912,7.91125720488257e-40,8.42856552322406e-37,"Down-regulated"
"AT5G14920",457.885049760644,-2.06674676130301,0.162503413889116,2.92840028503471e-38,2.95568064558477e-35,"Down-regulated"
"AT2G38230",838.288014553448,1.68074886346144,0.134649162979793,6.72983356518744e-37,6.45290091397998e-34,"Up-regulated"
"AT3G28940",942.350461644285,-1.56688320779798,0.125517719203479,7.32445569695372e-37,6.68862318573721e-34,"Down-regulated"
"AT2G05510",465.106489295653,-2.44148974675717,0.197669139312179,2.7304433688372e-36,2.3800778401905e-33,"Down-regulated"
"AT2G25900",347.717444730238,1.89198896345862,0.15443262938051,1.10847808244704e-35,9.24229747264648e-33,"Up-regulated"
"AT1G27020",377.827541162751,-2.32123837278135,0.190309075234974,1.9538028668928e-35,1.56116989910013e-32,"Down-regulated"
"AT5G42530",2435.23109360787,-3.85284663581849,0.319555780647073,9.95358427963733e-35,7.63519542922421e-32,"Down-regulated"
"AT2G15020",77.4923793483104,4.396828897619,0.364534073711812,3.74727897559428e-34,2.76390649672967e-31,"Up-regulated"
"AT2G20670",1501.66663344444,1.95605827564998,0.164721316150061,1.11889629683582e-33,7.94706454978541e-31,"Up-regulated"
"AT5G24120",219.794203974429,2.01013699226376,0.169270245171631,1.29298516705349e-33,8.85556305306597e-31,"Up-regulated"
"AT3G49960",122.211557662891,-3.07462320180249,0.259346472128147,1.36134072499398e-33,9.00221761489983e-31,"Down-regulated"
"AT4G29905",1145.7181281917,2.07202594948515,0.17499696736034,1.55199708653682e-33,9.92088270950552e-31,"Up-regulated"
"AT1G55960",172.36948086672,2.6126668354213,0.221862919239034,3.60919883232488e-33,2.23269696798369e-30,"Up-regulated"
"AT2G23170",128.539498012979,-3.34513620626703,0.286829453390365,1.71958904151372e-32,1.03051747028464e-29,"Down-regulated"
"AT4G30280",290.836883808957,-1.94880635888847,0.168658403576196,4.81567451722282e-32,2.79849061262976e-29,"Down-regulated"
"AT2G01520",352.93060772526,1.87724501184576,0.162858766594009,6.46321528782235e-32,3.64544351689909e-29,"Up-regulated"
"AT4G30670",355.559904592759,-2.22826305939699,0.193573519110193,8.3251961818909e-32,4.56149391943205e-29,"Down-regulated"
"AT4G13390",134.503619128476,-2.51013550527731,0.218330689051339,1.17322941593831e-31,6.24972791929137e-29,"Down-regulated"
"AT4G17340",575.993294508124,1.49807238946205,0.131937459664593,5.79615018504062e-31,3.00412897563578e-28,"Up-regulated"
"AT4G02380",2272.42173161952,-1.76556074189441,0.157124163086122,1.85165544793199e-30,9.34452540131364e-28,"Down-regulated"
"AT5G06640",108.12193338486,-2.77670951812637,0.249120450251988,7.11170767704773e-30,3.4969543108396e-27,"Down-regulated"
"AT1G31580",1641.90688548787,-1.29773594205492,0.117365352177928,1.97265442288922e-29,9.45739846693663e-27,"Down-regulated"
"AT5G49730",317.782565482305,1.69767498792234,0.155328572358341,6.6320863029131e-29,3.10203704953572e-26,"Up-regulated"
"AT2G25080",669.482596740653,1.34729023795199,0.12655459837633,1.71775415954079e-27,7.84318369464612e-25,"Up-regulated"
"ATCG00300",3730.63469889198,1.33742784624383,0.125712115772957,1.86423033569052e-27,8.31403375524119e-25,"Up-regulated"
"AT4G11320",998.602243194095,1.67517517014525,0.157906994088022,2.03500288915879e-27,8.86937509213595e-25,"Up-regulated"
"AT3G55240",165.707676095677,-2.19222223606075,0.208301572007156,4.55806200868691e-27,1.94244344756864e-24,"Down-regulated"
"AT1G68010",1313.23583592186,1.1648604528376,0.11026486049766,4.92608326421388e-27,2.05364127734412e-24,"Up-regulated"
"AT2G16060",114.094407668474,-2.56808335648405,0.244593210117078,7.55331746486625e-27,3.08191423454766e-24,"Down-regulated"
"AT5G04140",905.777346850668,1.24353787665625,0.118344762271166,8.38614791712903e-27,3.35044080430799e-24,"Up-regulated"
"AT4G19170",238.838527647195,1.81245176683076,0.173862135181185,1.59057643255625e-26,6.22499678512881e-24,"Up-regulated"
"AT1G62380",8801.28862919201,-1.53268815757975,0.147567306360976,2.03856938345931e-26,7.81872901331983e-24,"Down-regulated"
"AT3G21670",108.001476169036,2.60762262727462,0.252852453662899,3.3067486368344e-26,1.2434023256583e-23,"Up-regulated"
"AT2G43510",178.877105470286,-2.16699857986719,0.209653032878938,3.67827003203891e-26,1.35650354623866e-23,"Down-regulated"
"AT2G41480",91.5732536777439,-3.8363354502629,0.372094253858037,5.51511307776524e-26,1.99553440551517e-23,"Down-regulated"
"ATCG00020",4283.87870848312,1.23630324298922,0.119342441585894,8.12330814774209e-26,2.884827413875e-23,"Up-regulated"
"AT3G19710",313.708752316179,-1.88182054800467,0.184762317598853,1.83487660526846e-25,6.38791995795086e-23,"Down-regulated"
"AT4G35090",2062.73750356669,1.31041089601186,0.128426866997978,1.86537788833106e-25,6.38791995795086e-23,"Up-regulated"
"AT4G32460",224.163335600712,-1.9978983825227,0.197056437405211,2.37421761268854e-25,7.98778441377686e-23,"Down-regulated"
"AT5G35970",553.319838690942,1.43847672144062,0.141599126660048,2.7401833274736e-25,9.06008546051054e-23,"Up-regulated"
"AT3G61060",201.515441308001,2.01634624878429,0.199512737236239,3.93484725873908e-25,1.27895874374304e-22,"Up-regulated"
"AT2G13360",2455.43763920551,1.26363285440198,0.124810699613848,4.33352492115475e-25,1.38506679021641e-22,"Up-regulated"
"AT3G62680",150.256332477996,-2.16997266851111,0.215326888480807,5.69066105372345e-25,1.78901322995499e-22,"Down-regulated"
"AT4G02330",160.637323979306,-2.15312450121737,0.217048714237701,2.04525503709031e-24,6.32610578165822e-22,"Down-regulated"
"AT1G71030",300.040218653407,1.71501495177909,0.172632777414117,2.15239279619407e-24,6.55181534168471e-22,"Up-regulated"
"AT1G13260",200.761209469201,1.94759253074492,0.196480366741224,2.37524057240178e-24,7.11718569639827e-22,"Up-regulated"
"AT3G54590",191.08799860794,-1.82865947595116,0.184263053095612,2.4323366209369e-24,7.17614144303183e-22,"Down-regulated"
"AT5G11920",62.9802082220155,-3.89410544235478,0.393027264671897,7.4150165560783e-24,2.15451170448354e-21,"Down-regulated"
"AT3G26210",175.733735692683,-2.04637275228997,0.209675710571921,1.13721047678415e-23,3.25496795720741e-21,"Down-regulated"
"AT5G25250",140.949184535782,-1.98660857901266,0.204004913529379,1.5120539763857e-23,4.26421457428657e-21,"Down-regulated"
"AT1G23310",2089.84769539769,1.04234807954945,0.106704117939812,2.03851435390426e-23,5.66559271953942e-21,"Up-regulated"
"AT1G70700",114.829931788281,2.51500887128957,0.26056187177007,3.49406254759318e-23,9.57223392502778e-21,"Up-regulated"
"AT4G23010",233.666700063346,-1.66316212044699,0.172222648344386,3.54432684917365e-23,9.57317689952155e-21,"Down-regulated"
"AT1G80440",553.656002868192,1.54163993639008,0.159838505184696,4.0179353011379e-23,1.07016590652669e-20,"Up-regulated"
"AT5G06630",68.8354448774867,-3.40539624518407,0.353208107054006,6.40207959076673e-23,1.68181753852238e-20,"Down-regulated"
"AT4G16240",271.191183723734,-1.77940336108093,0.186110638651523,8.08333364828692e-23,2.09478499152971e-20,"Down-regulated"
"AT3G54580",228.873225132589,-1.57418074039603,0.164567783088908,9.49957435532282e-23,2.42897783216034e-20,"Down-regulated"
"AT1G54970",60.3191806946492,-4.70767365485114,0.48554027223517,1.30687993382462e-22,3.29763638038878e-20,"Down-regulated"
"AT5G22580",166.183786974077,-1.80193997054599,0.189526389466967,1.47673100455026e-22,3.67782733431953e-20,"Down-regulated"
"AT4G23680",630.102799532693,-1.68389967593312,0.177327380142358,1.62294666050531e-22,3.99016001391158e-20,"Down-regulated"
"AT1G49500",1806.72210535871,1.43421389907336,0.151165798563621,2.04110756987819e-22,4.9547240338676e-20,"Up-regulated"
"AT2G05540",1237.32644096353,1.59178312965194,0.168677183902766,2.99023288408348e-22,7.16796200225861e-20,"Up-regulated"
"AT1G76600",149.379150892271,2.17965412666327,0.231319802580272,3.21551648093818e-22,7.58156795708127e-20,"Up-regulated"
"AT3G48360",739.63270453684,1.34144977763153,0.141986087798,3.24184477489005e-22,7.58156795708127e-20,"Up-regulated"
"AT5G46050",118.028550562619,-2.42600075553969,0.25898613049588,4.7278856226113e-22,1.09236942873273e-19,"Down-regulated"
"AT3G25690",469.776554108959,1.32698019378346,0.141474426348119,6.76961004660331e-22,1.54548585552038e-19,"Up-regulated"
"AT3G47480",63.578038607367,-3.5477251439143,0.379494939261423,9.67733090824306e-22,2.1833197038515e-19,"Down-regulated"
"AT1G21250",74.0786256031437,-3.5295860410842,0.37735839540685,9.99503860261268e-22,2.22877738700353e-19,"Down-regulated"
"AT4G22890",487.165209969727,1.21513279599918,0.130148450225074,1.04813351097396e-21,2.31035130344226e-19,"Up-regulated"
"AT5G14740",2427.32538355516,0.952861687956659,0.101681921989731,1.08996052143752e-21,2.37524692268266e-19,"Not significant"
"ATCG00150",635.996463904209,1.58828309575155,0.170969159261933,1.18267973827185e-21,2.54834262256621e-19,"Up-regulated"
"AT5G09660",1055.0712904081,1.08975028958488,0.116728704012605,1.23599028724558e-21,2.63362063761205e-19,"Up-regulated"
"AT2G35260",611.609973726187,1.34757058106653,0.146350088336265,2.98852263723622e-21,6.29790094662407e-19,"Up-regulated"
"ATCG00140",442.196983859505,1.80831518203635,0.197132599084908,3.42935218567584e-21,7.14833552877234e-19,"Up-regulated"
"AT1G35140",314.192591141289,1.68695324416394,0.184265918144665,3.73134771529996e-21,7.69419947702229e-19,"Up-regulated"
"AT3G16770",1790.37933513233,-1.40318922693944,0.153146330143202,4.36934823814034e-21,8.91393523008694e-19,"Down-regulated"
"AT1G80130",58.2308739076465,-3.5302300600202,0.387631353383963,9.11223476510806e-21,1.83942448516292e-18,"Down-regulated"
"AT4G04840",151.342836555825,1.91367016881189,0.211099965865703,1.01808106800522e-20,2.03372298345167e-18,"Up-regulated"
"AT3G02230",380.388218659242,-1.26264972486567,0.139141408709632,1.16867836281389e-20,2.3104891715136e-18,"Down-regulated"
"AT1G22690",490.545574084797,1.33710498849157,0.147457811697646,1.22810922440189e-20,2.40320924452602e-18,"Up-regulated"
"AT4G16260",221.673959210731,-2.10637102708505,0.235830315904292,3.08648935800462e-20,5.97874812307623e-18,"Down-regulated"
"ATCG00280",2884.83300568922,1.16389154483038,0.130276424622068,4.45962898866147e-20,8.55223051155611e-18,"Up-regulated"
"AT3G04070",62.2517645989847,-3.00070821418256,0.336910242083386,5.39202423953539e-20,1.0237905825898e-17,"Down-regulated"
"AT2G27385",501.115309034334,1.2135492544802,0.136277765088841,5.91473373730496e-20,1.11202793019899e-17,"Up-regulated"
"ATCG00270",591.191165968229,1.25582422114081,0.141504641115879,7.34509339771541e-20,1.36754229211639e-17,"Up-regulated"
